State,State.Code,Region,Division,rentBurdenTotalE,rentBurdenTotalM,rentBurden3035E,rentBurden3035M,rentBurden3540E,rentBurden3540M,rentBurden4050E,rentBurden4050M,rentBurden50PlusE,rentBurden50PlusM,rentBurdenNCE,rentBurdenNCM,giniE,giniM,rentBurdenPercFull,rentBurdenPerc,POP,DENSITY
Alabama,AL,South,East South Central,592353,10712,42119,3536,34668,3311,43221,3684,122559,6153,77255,3844,0.4741,0.0052,0.470914273,47.1,4903185,96.81165244
Alaska,AK,West,Pacific,88927,2868,6971,1430,4123,1205,8777,1431,16556,2356,7710,1267,0.4376,0.0123,0.448514474,44.9,731545,1.281126592
Arizona,AZ,West,Mountain,927771,14775,85266,5380,53657,4347,74117,4984,189220,7030,62700,5017,0.4591,0.004,0.465002295,46.5,7278717,64.04325175
Arkansas,AR,South,West South Central,401838,8992,33075,3187,19813,2952,31479,3380,70746,4674,46548,3201,0.475,0.0064,0.436581384,43.7,3017804,57.99283631
California,CA,West,Pacific,5939131,32807,546479,15426,388855,11619,544308,12090,1530608,22234,281867,9284,0.4866,0.0018,0.532103504,53.2,39512223,253.5206882
Colorado,CO,West,Mountain,763191,12607,68527,4554,52823,3526,70050,4995,172670,7855,33325,3087,0.4548,0.0048,0.498817591,49.9,5758736,55.56614284
Connecticut,CT,Northeast,New England,481572,9380,38572,3758,31824,3856,37650,3503,114712,5602,28006,2854,0.5024,0.0053,0.491125878,49.1,3565287,736.2210464
Delaware,DE,South,South Atlantic,111736,5001,10397,1982,7392,1730,6971,1642,27334,3567,6233,1614,0.4509,0.0126,0.49376795,49.4,973764,499.7477588
District of Columbia,DC,South,South Atlantic,170582,4562,14498,1796,12828,2323,13058,2129,28920,3142,8383,1399,0.5115,0.0099,0.427277603,42.7,705749,11543.99994
Florida,FL,South,South Atlantic,2668313,27920,238309,10139,190430,9598,269743,9286,700193,16066,165009,7250,0.4808,0.0026,0.55873158,55.9,21477737,400.3464277
Georgia,GA,South,South Atlantic,1382142,18815,113933,8338,88546,6023,123748,9034,292949,11328,102442,6619,0.4795,0.0041,0.483844651,48.4,10617423,183.9587314
Hawaii,HI,West,Pacific,185339,5180,14531,1736,12398,1992,18544,2235,46646,3900,12960,1897,0.4397,0.0077,0.534398042,53.4,1415872,220.4575009
Idaho,ID,West,Mountain,186472,6390,14063,2206,14102,2027,17170,2686,34203,3759,12377,1744,0.4337,0.0098,0.456865504,45.7,1787065,21.62335489
Illinois,IL,Midwest,East North Central,1654139,15588,126702,5811,97706,5796,131157,6693,346525,12309,117065,5806,0.48,0.0032,0.456770461,45.7,12671821,228.2646781
Indiana,IN,Midwest,East North Central,797282,12807,64234,4389,47220,4486,66856,4403,153940,8047,64431,4916,0.4584,0.0048,0.453366373,45.3,6732219,187.9120311
Iowa,IA,Midwest,West North Central,379341,7989,27338,3180,19089,2609,27565,2768,72520,4396,28787,2819,0.4422,0.0056,0.417944168,41.8,3155070,56.48808963
Kansas,KS,Midwest,West North Central,381763,9288,28885,3060,23161,2561,28427,2855,70448,5192,25241,2253,0.45,0.0058,0.42331469,42.3,2913314,35.63317347
Kentucky,KY,South,East South Central,576908,9700,41638,3360,31156,3642,38614,3756,109834,7126,65786,4432,0.4764,0.0052,0.432855561,43.3,4467673,113.1303141
Louisiana,LA,South,West South Central,583424,12755,41823,4137,29560,3528,45139,4382,142368,7015,86549,5880,0.4978,0.0049,0.521036478,52.1,4648794,107.5997929
Maine,ME,Northeast,New England,159499,6711,14653,2256,10492,1808,11544,2127,26836,2851,14666,1665,0.449,0.0084,0.438608604,43.9,1344212,43.57985941
Maryland,MD,South,South Atlantic,738599,11862,65209,4763,47807,4238,64729,4586,172268,8847,36569,3141,0.4558,0.0036,0.498572711,49.9,6045680,622.5512503
Massachusetts,MA,Northeast,New England,1002933,11167,85643,5446,68695,5115,80118,4852,229529,9055,52935,4192,0.4803,0.0039,0.488406291,48.8,6892503,883.5457036
