"","Promotion","Event","EventID","Match","Fighter","FighterID","Result","Opponent","OpponentID","Method","Round","Time","Date"
"1","Eagle Fighting Championship (Russia)","EFC 31Eagle Fighting Championship 31",88044,"17","Rizvan Kuniev","Rizvan-Kuniev-86319","Win","Vladimir Daineko","Vladimir-Daineko-186933","Method TKO (Corner Stoppage)","3","5:00",2020-12-19
"2","Eagle Fighting Championship (Russia)","EFC 31Eagle Fighting Championship 31",88044,"16","Magomed Umalatov","Magomed-Umalatov-233045","Win","Rashid Koichakaev","Rashid-Koichakaev-215161","TKO (Punches)Maxim Protasov","3","2:17",2020-12-19
"3","Eagle Fighting Championship (Russia)","EFC 31Eagle Fighting Championship 31",88044,"15","Rashid Vagabov","Rashid-Vagabov-319001","Win","Rildeci Lima Dias","Rildeci-Lima-Dias-101317","Decision (Unanimous)Nikolay Sharipov","3","5:00",2020-12-19
"4","Eagle Fighting Championship (Russia)","EFC 31Eagle Fighting Championship 31",88044,"14","Kamil  Magomedov","Kamil-Magomedov-163693","Win","Ayur Galsanov","Ayur-Galsanov-237917","Submission (Choke)Maxim Protasov","1","3:30",2020-12-19
"5","Eagle Fighting Championship (Russia)","EFC 31Eagle Fighting Championship 31",88044,"13","Mansur Malachiev","Mansur-Malachiev-237803","Win","Ilmiyamin Dzhavatov","Ilmiyamin-Dzhavatov-254037","Submission (Choke)Nikolay Sharipov","2","3:33",2020-12-19
"6","Eagle Fighting Championship (Russia)","EFC 31Eagle Fighting Championship 31",88044,"12","Umar Kunakbiev","Umar-Kunakbiev-333173","Win","Omar Rzayev","Omar-Rzayev-272185","Submission (Choke)Maxim Protasov","1","2:14",2020-12-19
"7","Eagle Fighting Championship (Russia)","EFC 31Eagle Fighting Championship 31",88044,"11","Abdurakhman Alimagomedov","Abdurakhman-Alimagomedov-299075","Win","Eslam Abdel Mineim","Eslam-Abdel-Mineim-150351","Submission (Choke)Nikolay Sharipov","2","2:17",2020-12-19
"8","Eagle Fighting Championship (Russia)","EFC 31Eagle Fighting Championship 31",88044,"10","Ali Kabdulla","Ali-Kabdulla-303815","Win","Imran Zhulagov","Imran-Zhulagov-184951","Submission (Choke)Maxim Protasov","2","2:35",2020-12-19
"9","Eagle Fighting Championship (Russia)","EFC 31Eagle Fighting Championship 31",88044,"9","Nutsalkhan Umakhanov","Nutsalkhan-Umakhanov-245829","Win","Konstantin Linnik","Konstantin-Linnik-167709","TKO (Punches)Nikolay Sharipov","1","0:49",2020-12-19
"10","Eagle Fighting Championship (Russia)","EFC 31Eagle Fighting Championship 31",88044,"8","Magomed Kurbanov","Magomed-Kurbanov-263159","Win","Bogdan Plutakhin","Bogdan-Plutakhin-291323","Decision (Unanimous)Maxim Protasov","3","5:00",2020-12-19
"11","Eagle Fighting Championship (Russia)","EFC 31Eagle Fighting Championship 31",88044,"7","Ahkubek Omarov","Ahkubek-Omarov-312599","Win","Dmitry Shestakov","Dmitry-Shestakov-118913","Decision (Unanimous)Nikolay Sharipov","3","5:00",2020-12-19
"12","Eagle Fighting Championship (Russia)","EFC 31Eagle Fighting Championship 31",88044,"6","Gadzhimurad Magomedov","Gadzhimurad-Magomedov-256745","Win","Zaur Albakov","Zaur-Albakov-233367","TKO (Punches)Maxim Protasov","1","1:20",2020-12-19
"13","Eagle Fighting Championship (Russia)","EFC 31Eagle Fighting Championship 31",88044,"5","Vitaliy Kositsynd","Vitaliy-Kositsyn-260007","Win","Aidarbek Abdibait","Aidarbek-Abdibait-268707","Draw (Unanimous)Nikolay Sharipov","3","5:00",2020-12-19
"14","Eagle Fighting Championship (Russia)","EFC 31Eagle Fighting Championship 31",88044,"4","Leonid Malozemov","Leonid-Malozemov-239143","Win","Abror Mamurov","Abror-Mamurov-301441","Decision (Split)Maxim Protasov","3","5:00",2020-12-19
"15","Eagle Fighting Championship (Russia)","EFC 31Eagle Fighting Championship 31",88044,"3","Kunni Kunniev","Kunni-Kunniev-379557","Win","Ruslan Kuliev","Ruslan-Kuliev-332597","Decision (Unanimous)Nikolay Sharipov","3","5:00",2020-12-19
"16","Eagle Fighting Championship (Russia)","EFC 31Eagle Fighting Championship 31",88044,"2","Aslan Oraz","Aslan-Oraz-272189","Win","Mikhail Kuznetsov","Mikhail-Kuznetsov-143545","TKO (Punches)Nikolay Sharipov","1","4:25",2020-12-19
"17","Eagle Fighting Championship (Russia)","EFC 31Eagle Fighting Championship 31",88044,"1","Magomed Suleymanov","Magomed-Suleymanov-379559","Win","Kurbanali Silaymanov","Kurbanali-Silaymanov-379558","TKO (Punches)Maxim Protasov","1","3:35",2020-12-19
"18","Empire Fighting Championship","EFCEmpire Fighting Championship 8",88045,"2","Cameron Teague","Cameron-Teague-337869","Win","Jordan Juneau","Jordan-Juneau-256201","Method","0","0:00",2020-12-19
"19","Empire Fighting Championship","EFCEmpire Fighting Championship 8",88045,"1","Ethan Hughesyet to c","Ethan-Hughes-312209","Win","Douglas Freemanyet to ","Douglas-Freeman-375823","N/A","0","0:00",2020-12-19
"20","Power Plant Productions","Power Plant ProductionsThe Fight Before Christmas 5",88047,"5","Aaron Phillips","Aaron-Phillips-280195","Win","Maika Graf","Maika-Graf-147985","Method","0","0:00",2020-12-19
"21","Power Plant Productions","Power Plant ProductionsThe Fight Before Christmas 5",88047,"4","Tyson Duckworthyet to c","Tyson-Duckworth-50063","Win","Kris Berberichyet to ","Kris-Berberich-238951","N/A","0","0:00",2020-12-19
"22","Power Plant Productions","Power Plant ProductionsThe Fight Before Christmas 5",88047,"3","Nate Grinnellyet to c","Nate-Grinnell-377805","Win","Onosai Moanayet to ","Onosai-Moana-181553","N/A","0","0:00",2020-12-19
"23","Power Plant Productions","Power Plant ProductionsThe Fight Before Christmas 5",88047,"2","Josh Terryyet to c","Josh-Terry-365295","Win","Chris Trefonyet to ","Chris-Trefon-376720","N/A","0","0:00",2020-12-19
"24","Power Plant Productions","Power Plant ProductionsThe Fight Before Christmas 5",88047,"1","Tristyn DeHartyet to c","Tristyn-DeHart-344011","Win","Patrik Whiteyet to ","Patrik-White-221861","N/A","0","0:00",2020-12-19
"25","ACA Young Eagles","ACA YE 15ACA Young Eagles",88133,"25","Mikhail Pogodin","Mikhail-Pogodin-243109","Win","Said-Magomed Batukaev","SaidMagomed-Batukaev-267775","Method Decision (Unanimous)","3","5:00",2020-12-19
"26","ACA Young Eagles","ACA YE 15ACA Young Eagles",88133,"24","Saifullah Dzhabrailov","Saifullah-Dzhabrailov-199471","Win","Aman Abdraymov","Aman-Abdraymov-270797","Submission (Brabo Choke)Gerikhan Shibilov","2","1:08",2020-12-19
"27","ACA Young Eagles","ACA YE 15ACA Young Eagles",88133,"23","Mansur Djamburaev","Mansur-Djamburaev-200295","Win","Bekbolot Abdylda","Bekbolot-Abdylda-217381","TKO (Doctor Stoppage)Ashot Ashugyan","1","5:00",2020-12-19
"28","ACA Young Eagles","ACA YE 15ACA Young Eagles",88133,"22","Magomed Ginazov","Magomed-Ginazov-161775","Win","Alkhas Abdulmedzhidov","Alkhas-Abdulmedzhidov-237799","Decision (Unanimous)Ashot Ashugyan","3","5:00",2020-12-19
"29","ACA Young Eagles","ACA YE 15ACA Young Eagles",88133,"21","Elkhan Ibragimkhalilov","Elkhan-Ibragimkhalilov-262623","Win","Movladi Kalamov","Movladi-Kalamov-271365","Submission (Rear-Naked Choke)Giorgi Begadze","1","4:18",2020-12-19
"30","ACA Young Eagles","ACA YE 15ACA Young Eagles",88133,"20","Rakhim Midaev","Rakhim-Midaev-267779","Win","Armen Dzhragatspanyan","Armen-Dzhragatspanyan-136511","Decision (Unanimous)Giorgi Begadze","3","5:00",2020-12-19
"31","ACA Young Eagles","ACA YE 15ACA Young Eagles",88133,"19","Nureles Aidarov","Nureles-Aidarov-268611","Win","Batukhan Baysuev","Batukhan-Baysuev-224003","KOAshot Ashugyan","3","1:03",2020-12-19
"32","ACA Young Eagles","ACA YE 15ACA Young Eagles",88133,"18","Ilia Khodkevich","Ilia-Khodkevich-313081","Win","Islam Umarov","Islam-Umarov-224035","Decision (Unanimous)Gerikhan Shibilov","3","5:00",2020-12-19
"33","ACA Young Eagles","ACA YE 15ACA Young Eagles",88133,"17","Arkadiy Osipyan","Arkadiy-Osipyan-277995","Win","Dzhambulat Selimkhanov","Dzhambulat-Selimkhanov-250071","Submission (Rear-Naked Choke)Gerikhan Shibilov","3","3:57",2020-12-19
"34","ACA Young Eagles","ACA YE 15ACA Young Eagles",88133,"16","Adlan Mamaev","Adlan-Mamaev-222847","Win","Vasily Kozlov","Vasily-Kozlov-296519","Decision (Unanimous)Ashot Ashugyan","3","5:00",2020-12-19
"35","ACA Young Eagles","ACA YE 15ACA Young Eagles",88133,"15","Edgar Okhtov","Edgar-Okhtov-260351","Win","Maksim Dupin","Maksim-Dupin-296301","Decision (Unanimous)Giorgi Begadze","3","5:00",2020-12-19
"36","ACA Young Eagles","ACA YE 15ACA Young Eagles",88133,"14","Khalid Satuev","Khalid-Satuev-272657","Win","Myktybek Orolbai","Myktybek-Orolbai-316759","Decision (Unanimous)Giorgi Begadze","3","5:00",2020-12-19
"37","ACA Young Eagles","ACA YE 15ACA Young Eagles",88133,"13","Vadim Kadyrov","Vadim-Kadyrov-158553","Win","Anzor Tsekov","Anzor-Tsekov-232725","Decision (Unanimous)Gerikhan Shibilov","3","5:00",2020-12-19
"38","ACA Young Eagles","ACA YE 15ACA Young Eagles",88133,"12","Amir Alborov","Amir-Alborov-205891","Win","Adam Magomaev","Adam-Magomaev-234355","TKO (Punches)Giorgi Begadze","1","1:02",2020-12-19
"39","ACA Young Eagles","ACA YE 15ACA Young Eagles",88133,"11","Imam Vitakhanov","Imam-Vitakhanov-224103","Win","Saidali Azamat Uulu","Saidali-Azamat-Uulu-341291","Submission (Guillotine Choke)Ashot Ashugyan","1","0:39",2020-12-19
"40","ACA Young Eagles","ACA YE 15ACA Young Eagles",88133,"10","Khasan Bisultanov","Khasan-Bisultanov-298157","Win","Azizbek Keldibek Uulu","Azizbek-Keldibek-Uulu-350351","TKO (Punches)Ashot Ashugyan","1","3:04",2020-12-19
"41","ACA Young Eagles","ACA YE 15ACA Young Eagles",88133,"9","Yakub Kediev","Yakub-Kediev-280055","Win","Osmonbek Shakhbazov","Osmonbek-Shakhbazov-241563","TKO (Punches)Giorgi Begadze","1","1:25",2020-12-19
"42","ACA Young Eagles","ACA YE 15ACA Young Eagles",88133,"8","Akhmed Khamzaev","Akhmed-Khamzaev-259357","Win","Hofizjon Kurbonov","Hofizjon-Kurbonov-287233","TKO (Punches)Gerikhan Shibilov","2","1:19",2020-12-19
"43","ACA Young Eagles","ACA YE 15ACA Young Eagles",88133,"7","Magomed Zakriev","Magomed-Zakriev-205091","Win","Araz Mamedov","Araz-Mamedov-325599","Submission (Guillotine Choke)Gerikhan Shibilov","1","2:57",2020-12-19
"44","ACA Young Eagles","ACA YE 15ACA Young Eagles",88133,"6","Akhmad Magomedov","Akhmad-Magomedov-229191","Win","Zaur Kairov","Zaur-Kairov-232623","Decision (Unanimous)Giorgi Begadze","3","5:00",2020-12-19
"45","ACA Young Eagles","ACA YE 15ACA Young Eagles",88133,"5","Djabrail Malsagov","Djabrail-Malsagov-312757","Win","Omurbek Toktoali uulu","Omurbek-Toktoali-uulu-259155","Decision (Unanimous)Giorgi Begadze","3","5:00",2020-12-19
"46","ACA Young Eagles","ACA YE 15ACA Young Eagles",88133,"4","Shabdan Sarykov","Shabdan-Sarykov-351233","Win","Zelim Khachukaev","Zelim-Khachukaev-336199","Submission (Rear-Naked Choke)Gerikhan Shibilov","1","3:54",2020-12-19
"47","ACA Young Eagles","ACA YE 15ACA Young Eagles",88133,"3","Ramzan Molochaev","Ramzan-Molochaev-259955","Win","Vladimir Prilipkin","Vladimir-Prilipkin-251589","Submission (Rear-Naked Choke)Gerikhan Shibilov","2","0:55",2020-12-19
"48","ACA Young Eagles","ACA YE 15ACA Young Eagles",88133,"2","Said Magomed Tapaev","Said-Magomed-Tapaev-363155","Win","Aslan Tsalkosov","Aslan-Tsalkosov-309363","Decision (Unanimous)Ashot Ashugyan","3","5:00",2020-12-19
