"","Promotion","Event","EventID","Match","Fighter","FighterID","Result","Opponent","OpponentID","Method","Round","Time","Date"
"1","Eagle Fighting Championship","EFCEagle Fighting Championship: Selection 3",89931,"3","Gadzhimurad Aliev","Gadzhimurad-Aliev-298525","Win","Mansur Djamburaev","Mansur-Djamburaev-200295","Method","0","0:00",2021-07-18
"2","Eagle Fighting Championship","EFCEagle Fighting Championship: Selection 3",89931,"2","Israil Gadzhiagaevyet to c","Israil-Gadzhiagaev-380030","Win","Magomed Gapizovyet to ","Magomed-Gapizov-273483","N/A","0","0:00",2021-07-18
"3","Eagle Fighting Championship","EFCEagle Fighting Championship: Selection 3",89931,"1","Magomedrasul Sheykhmagomedovyet to c","Magomedrasul-Sheykhmagomedov-231871","Win","Mavlid Muradovyet to ","Mavlid-Muradov-308287","N/A","0","0:00",2021-07-18
"4","Fight Club Den Haag","Fight Club Den HaagAkira FC 2",89802,"2","Dominik Dankowski","Dominik-Dankowski-304361","Win","Mohamed Amine","Mohamed-Amine-376095","Method","0","0:00",2021-07-18
"5","Fight Club Den Haag","Fight Club Den HaagAkira FC 2",89802,"1","Lizzy Geversyet to c","Lizzy-Gevers-302473","Win","Kelley Hammingyet to ","Kelley-Hamming-386929","N/A","0","0:00",2021-07-18
"6","Legacy Fighting Alliance (LFA)","LFA 112Welterweight Grand Prix",89664,"12","Carlos Leal Miranda","Carlos-Leal-Miranda-109073","Win","Uyran Carlos","Uyran-Carlos-163141","Method Decision (Unanimous)","3","5:00",2021-07-18
"7","Legacy Fighting Alliance (LFA)","LFA 112Welterweight Grand Prix",89664,"11","Otto Rodrigues","Otto-Rodrigues-31623","Win","Carlos Augusto Santos da Silva","Carlos-Augusto-Santos-da-Silva-152507","Decision (Unanimous)Osiris Maia","3","5:00",2021-07-18
"8","Legacy Fighting Alliance (LFA)","LFA 112Welterweight Grand Prix",89664,"10","Rafael Ramos Estevam","Rafael-Ramos-Estevam-200851","Win","Filipe Esteves","Filipe-Esteves-248275","TKO (Punches)Joao Claudio Soares","2","2:19",2021-07-18
"9","Legacy Fighting Alliance (LFA)","LFA 112Welterweight Grand Prix",89664,"9","Kaynan Kruschewsky","Kaynan-Kruschewsky-152747","Win","Luiz Cesar da Silva Junior","Luiz-Cesar-da-Silva-Junior-165873","KO (Punch)Fernando Portella","1","1:02",2021-07-18
"10","Legacy Fighting Alliance (LFA)","LFA 112Welterweight Grand Prix",89664,"8","Carlos Mota","Carlos-Mota-182629","Win","Jeferson Ferreira de Oliveira","Jeferson-Ferreira-de-Oliveira-193985","Decision (Unanimous)Joao Claudio Soares","3","5:00",2021-07-18
"11","Legacy Fighting Alliance (LFA)","LFA 112Welterweight Grand Prix",89664,"7","Dayane de Souza Cardoso","Dayane-de-Souza-Cardoso-253403","Win","Elaine Cristina Lopez Pinheiro","Elaine-Cristina-Lopez-Pinheiro-353193","Submission (Rear-Naked Choke)Osiris Maia","1","3:45",2021-07-18
