"","Match","Fighter","Result","Opponent","Method","Round","Time","Date"
"1","15","Todd Medina","Win","Daijiro Matsui","Method Decision (Unanimous)","2","5:00",2000-06-24
"2","14","Tedd Williamswin","Win","Bill Parkerloss","Submission (Keylock)N/A","1","0:32",2000-06-24
"3","13","Fabiano Ihawin","Win","Danny Bennettloss","Submission (Armbar)N/A","1","0:49",2000-06-24
"4","12","Roger Neffwin","Win","Chris Francoloss","TKO (Submission to Punches)N/A","1","1:59",2000-06-24
"5","11","Jacen Flynnwin","Win","Ryan Painterloss","Submission (Kimura)N/A","1","2:34",2000-06-24
"6","10","Tony Galindowin","Win","Kurt Rojoloss","KO (Punch)N/A","1","0:07",2000-06-24
"7","9","Falaniko Vitalewin","Win","Aaron Torresloss","Submission (Armbar)N/A","1","2:21",2000-06-24
"8","8","Dan Rizzutowin","Win","Dustin Moeloss","Decision (Unanimous)N/A","2","5:00",2000-06-24
"9","7","Duane Ludwigwin","Win","Shad Smithloss","TKO (Corner Stoppage)N/A","1","3:08",2000-06-24
"10","6","Dave Robertswin","Win","Pete Rossiloss","TKO (Punches)N/A","1","1:28",2000-06-24
"11","5","Marvin Eastmanwin","Win","Quinton Jacksonloss","Decision (Unanimous)N/A","2","5:00",2000-06-24
"12","4","Charlie Kohlerwin","Win","Jason Meadersloss","Decision (Unanimous)N/A","2","5:00",2000-06-24
"13","3","David Velasquezwin","Win","Dave Hisquierdoloss","Decision (Unanimous)N/A","2","5:00",2000-06-24
"14","2","Roger Godinezdraw","Win","Mike Bourkedraw","DrawN/A","2","5:00",2000-06-24
"15","1","Jeremy Williamswin","Win","Brennan Kamakaloss","Submission (Armbar)N/A","1","0:58",2000-06-24
"16","13","Ricco Rodriguez","Win","Paul Buentello","Method Submission (Kneebar)","2","4:21",2001-02-24
"17","12","Pete Williamswin","Win","Rick Mathisloss","TKO (Corner Stoppage)N/A","1","5:00",2001-02-24
"18","11","Joe Hurleywin","Win","Charlie Kohlerloss","Decision (Split)N/A","3","5:00",2001-02-24
"19","10","Jeremy Williamswin","Win","Yves Edwardsloss","Decision (Split)N/A","3","5:00",2001-02-24
"20","9","Guy Mezgerwin","Win","Alexander Otsukaloss","TKO (Doctor Stoppage)N/A","2","1:57",2001-02-24
"21","8","Rafiel Torrewin","Win","Ioka Tianuuloss","Submission (Kneebar)N/A","1","1:56",2001-02-24
"22","7","Alex Andradewin","Win","Yusuke Imamuraloss","TKO (Submission to Punches)N/A","1","2:46",2001-02-24
"23","6","Marvin Eastmanwin","Win","Floyd Swordloss","Decision (Split)N/A","3","5:00",2001-02-24
"24","5","Jacen Flynnwin","Win","Dean Listerloss","Decision (Split)N/A","2","5:00",2001-02-24
"25","4","Reggie Cardieldraw","Win","Tony Galindodraw","DrawN/A","2","5:00",2001-02-24
"26","3","Shungo Oyamawin","Win","Mike Bourkeloss","KO (Punch)N/A","1","0:17",2001-02-24
"27","2","Victor Hunsakerwin","Win","Kevin Hoganloss","Submission (Armbar)N/A","1","4:36",2001-02-24
