"","Name","Result","Fighter","Event","Method/Referee","Round","Time"
"2","Tony Galindo","loss","Tony Lopez","KOTC 49 - SobobaMar / 20 / 2005","KO (Punches)N/A","1","3:24"
"3","Tony Galindo","loss","Joey Villasenor","KOTC 21 - InvasionFeb / 21 / 2003","TKO (Corner Stoppage)Larry Landless","1","5:00"
"4","Tony Galindo","loss","Brian Sleeman","GC 6 - Caged BeastsSep / 09 / 2001","TKO (Corner Stoppage)Larry Landless","2","3:10"
"5","Tony Galindo","win","Reggie Cardiel","KOTC 9 - ShowtimeJun / 23 / 2001","DecisionN/A","2","5:00"
"6","Tony Galindo","draw","Reggie Cardiel","KOTC 7 - Wet and WildFeb / 24 / 2001","DrawN/A","2","5:00"
"7","Tony Galindo","win","Brian Hawkins","KOTC 6 - Road WarriorsNov / 29 / 2000","TKO (Punches) N/A","1","1:30"
"8","Tony Galindo","win","Kurt Rojo","KOTC 4 - GladiatorsJun / 24 / 2000","KO (Punch)N/A","1","0:07"
"21","Kurt Rojo","loss","Phillip Miller","GC 1 - Gladiator Challenge 1Dec / 09 / 2000","DecisionN/A","3","5:00"
"31","Kurt Rojo","loss","Tony Galindo","KOTC 4 - GladiatorsJun / 24 / 2000","KO (Punch)N/A","1","0:07"
"22","Brian Hawkins","loss","James Lee","KOTC - Drop ZoneMar / 18 / 2006","Submission (Heel Hook)N/A","1","0:24"
"32","Brian Hawkins","loss","Seth Petruzelli","KOTC 21 - InvasionFeb / 21 / 2003","TKO (Punches)Herb Dean","1","2:21"
"41","Brian Hawkins","win","Kent Hensley","CC 1 - Halloween HeatOct / 26 / 2002","TKO (Doctor Stoppage)N/A","1","1:00"
"51","Brian Hawkins","win","Todd Medina","KOTC 16 - Double CrossAug / 02 / 2002","TKO (Cut)N/A","1","5:00"
"61","Brian Hawkins","win","Anthony Ferguson","TFC 4 - Fightzone 4May / 17 / 2002","KON/A","1","0:00"
"71","Brian Hawkins","loss","Jorge Rivera","TFC FightZone - Back in the ZoneMar / 22 / 2002","KO (Punches)N/A","1","N/A"
"81","Brian Hawkins","loss","Tony Galindo","KOTC 6 - Road WarriorsNov / 29 / 2000","TKO (Punches) N/A","1","1:30"
"9","Brian Hawkins","win","Jerome Beal","TFC 3 - Fightzone 3Oct / 19 / 2000","TKO (Punches)N/A","0","N/A"
"10","Brian Hawkins","win","Russell Little","TFC 2 - Fightzone 2Jul / 20 / 2000","KO (Punches)N/A","0","N/A"
"210","Ken Shamrock","loss","Royce Gracie","Bellator 149 - Shamrock vs. GracieFeb / 19 / 2016","TKO (Knee and Punches)Jacob Montalvo","1","2:22"
"310","Ken Shamrock","loss","Kevin Ferguson","Bellator 138 - Unfinished BusinessJun / 19 / 2015","TKO (Punches)John McCarthy","1","2:22"
"49","Ken Shamrock","loss","Mike Bourke","KOTC - PlatinumNov / 25 / 2010","TKO (Punches)N/A","1","2:00"
"52","Ken Shamrock","win","Johnathan Ivey","USA MMA  - Return of the ChampionsOct / 16 / 2010","Decision (Unanimous)N/A","3","5:00"
"62","Ken Shamrock","loss","Pedro Rizzo","Impact FC 2 - The Uprising: SydneyJul / 18 / 2010","TKO (Leg Kicks and Punches)John McCarthy","1","3:33"
"72","Ken Shamrock","win","Ross Clifton","Wargods/Ken Shamrock Productions - The Valentine's Eve MassacreFeb / 13 / 2009","Submission (Armbar)N/A","1","1:00"
"82","Ken Shamrock","loss","Robert Berry","Cage Rage 25 - Bring It OnMar / 08 / 2008","KO (Punches)N/A","1","3:26"
"91","Ken Shamrock","loss","Tito Ortiz","UFC Fight Night 6.5 - Ortiz vs. Shamrock 3Oct / 10 / 2006","TKO (Punches)John McCarthy","1","2:23"
"101","Ken Shamrock","loss","Tito Ortiz","UFC 61 - Bitter RivalsJul / 08 / 2006","TKO (Elbows)Herb Dean","1","1:18"
"11","Ken Shamrock","loss","Kazushi Sakuraba","Pride 30 - Fully LoadedOct / 23 / 2005","TKO (Punch)N/A","1","2:27"
"12","Ken Shamrock","loss","Rich Franklin","UFC - The Ultimate Fighter 1 FinaleApr / 09 / 2005","TKO (Punches)John McCarthy","1","2:42"
"13","Ken Shamrock","win","Kimo Leopoldo","UFC 48 - PaybackJun / 19 / 2004","KO (Knee)N/A","1","1:26"
"14","Ken Shamrock","loss","Tito Ortiz","UFC 40 - VendettaNov / 22 / 2002","TKO (Corner Stoppage)N/A","3","5:00"
"15","Ken Shamrock","loss","Don Frye","Pride 19 - Bad BloodFeb / 24 / 2002","Decision (Split)N/A","3","5:00"
"16","Ken Shamrock","win","Sam Adkins","WMMAA 1 - MegaFightsAug / 10 / 2001","Submission (Kimura)N/A","1","1:26"
"17","Ken Shamrock","loss","Kazuyuki Fujita","Pride 10 - Return of the WarriorsAug / 27 / 2000","TKO (Corner Stoppage)N/A","1","6:46"
"18","Ken Shamrock","win","Alexander Otsuka","Pride FC - Pride Grand Prix 2000: FinalsMay / 01 / 2000","KO (Punches)Akira Okabayashi","1","9:43"
"19","Ken Shamrock","win","Brian Johnston","UFC - Ultimate Ultimate 1996Dec / 07 / 1996","Submission (Forearm Choke)John McCarthy","1","5:48"
"20","Ken Shamrock","loss","Dan Severn","UFC 9 - Motor City MadnessMay / 17 / 1996","Decision (Split)John McCarthy","1","30:00"
"211","Ken Shamrock","win","Kimo Leopoldo","UFC 8 - David vs. GoliathFeb / 16 / 1996","Submission (Kneebar)John McCarthy","1","4:24"
"221","Ken Shamrock","win","Kazuo Takahashi","Pancrase - Truth 1Jan / 28 / 1996","Decision (Lost Points)Soichi Hiroto","1","20:00"
