"","FighterID","Fighter","Result","Opponent","Event","Method","Round","Time","Date"
"2",1,"Tony Galindo","loss","Tony Lopez","KOTC 49 - SobobaMar / 20 / 2005","KO (Punches)N/A","1","3:24",2005-03-20
"3",1,"Tony Galindo","loss","Joey Villasenor","KOTC 21 - InvasionFeb / 21 / 2003","TKO (Corner Stoppage)Larry Landless","1","5:00",2003-02-21
"4",1,"Tony Galindo","loss","Brian Sleeman","GC 6 - Caged BeastsSep / 09 / 2001","TKO (Corner Stoppage)Larry Landless","2","3:10",2001-09-09
"5",1,"Tony Galindo","win","Reggie Cardiel","KOTC 9 - ShowtimeJun / 23 / 2001","DecisionN/A","2","5:00",2001-06-23
"6",1,"Tony Galindo","draw","Reggie Cardiel","KOTC 7 - Wet and WildFeb / 24 / 2001","DrawN/A","2","5:00",2001-02-24
"7",1,"Tony Galindo","win","Brian Hawkins","KOTC 6 - Road WarriorsNov / 29 / 2000","TKO (Punches) N/A","1","1:30",2000-11-29
"8",1,"Tony Galindo","win","Kurt Rojo","KOTC 4 - GladiatorsJun / 24 / 2000","KO (Punch)N/A","1","0:07",2000-06-24
"21",2,"Kurt Rojo","loss","Phillip Miller","GC 1 - Gladiator Challenge 1Dec / 09 / 2000","DecisionN/A","3","5:00",2000-12-09
"31",2,"Kurt Rojo","loss","Tony Galindo","KOTC 4 - GladiatorsJun / 24 / 2000","KO (Punch)N/A","1","0:07",2000-06-24
"22",3,"Brian Hawkins","loss","James Lee","KOTC - Drop ZoneMar / 18 / 2006","Submission (Heel Hook)N/A","1","0:24",2006-03-18
"32",3,"Brian Hawkins","loss","Seth Petruzelli","KOTC 21 - InvasionFeb / 21 / 2003","TKO (Punches)Herb Dean","1","2:21",2003-02-21
"41",3,"Brian Hawkins","win","Kent Hensley","CC 1 - Halloween HeatOct / 26 / 2002","TKO (Doctor Stoppage)N/A","1","1:00",2002-10-26
"51",3,"Brian Hawkins","win","Todd Medina","KOTC 16 - Double CrossAug / 02 / 2002","TKO (Cut)N/A","1","5:00",2002-08-02
"61",3,"Brian Hawkins","win","Anthony Ferguson","TFC 4 - Fightzone 4May / 17 / 2002","KON/A","1","0:00",2002-05-17
"71",3,"Brian Hawkins","loss","Jorge Rivera","TFC FightZone - Back in the ZoneMar / 22 / 2002","KO (Punches)N/A","1","N/A",2002-03-22
"81",3,"Brian Hawkins","loss","Tony Galindo","KOTC 6 - Road WarriorsNov / 29 / 2000","TKO (Punches) N/A","1","1:30",2000-11-29
"9",3,"Brian Hawkins","win","Jerome Beal","TFC 3 - Fightzone 3Oct / 19 / 2000","TKO (Punches)N/A","0","N/A",2000-10-19
"10",3,"Brian Hawkins","win","Russell Little","TFC 2 - Fightzone 2Jul / 20 / 2000","KO (Punches)N/A","0","N/A",2000-07-20
"210",4,"Ken Shamrock","loss","Royce Gracie","Bellator 149 - Shamrock vs. GracieFeb / 19 / 2016","TKO (Knee and Punches)Jacob Montalvo","1","2:22",2016-02-19
"310",4,"Ken Shamrock","loss","Kevin Ferguson","Bellator 138 - Unfinished BusinessJun / 19 / 2015","TKO (Punches)John McCarthy","1","2:22",2015-06-19
"49",4,"Ken Shamrock","loss","Mike Bourke","KOTC - PlatinumNov / 25 / 2010","TKO (Punches)N/A","1","2:00",2010-11-25
"52",4,"Ken Shamrock","win","Johnathan Ivey","USA MMA  - Return of the ChampionsOct / 16 / 2010","Decision (Unanimous)N/A","3","5:00",2010-10-16
"62",4,"Ken Shamrock","loss","Pedro Rizzo","Impact FC 2 - The Uprising: SydneyJul / 18 / 2010","TKO (Leg Kicks and Punches)John McCarthy","1","3:33",2010-07-18
"72",4,"Ken Shamrock","win","Ross Clifton","Wargods/Ken Shamrock Productions - The Valentine's Eve MassacreFeb / 13 / 2009","Submission (Armbar)N/A","1","1:00",2009-02-13
"82",4,"Ken Shamrock","loss","Robert Berry","Cage Rage 25 - Bring It OnMar / 08 / 2008","KO (Punches)N/A","1","3:26",2008-03-08
"91",4,"Ken Shamrock","loss","Tito Ortiz","UFC Fight Night 6.5 - Ortiz vs. Shamrock 3Oct / 10 / 2006","TKO (Punches)John McCarthy","1","2:23",2006-10-10
"101",4,"Ken Shamrock","loss","Tito Ortiz","UFC 61 - Bitter RivalsJul / 08 / 2006","TKO (Elbows)Herb Dean","1","1:18",2006-07-08
"11",4,"Ken Shamrock","loss","Kazushi Sakuraba","Pride 30 - Fully LoadedOct / 23 / 2005","TKO (Punch)N/A","1","2:27",2005-10-23
"12",4,"Ken Shamrock","loss","Rich Franklin","UFC - The Ultimate Fighter 1 FinaleApr / 09 / 2005","TKO (Punches)John McCarthy","1","2:42",2005-04-09
"13",4,"Ken Shamrock","win","Kimo Leopoldo","UFC 48 - PaybackJun / 19 / 2004","KO (Knee)N/A","1","1:26",2004-06-19
"14",4,"Ken Shamrock","loss","Tito Ortiz","UFC 40 - VendettaNov / 22 / 2002","TKO (Corner Stoppage)N/A","3","5:00",2002-11-22
"15",4,"Ken Shamrock","loss","Don Frye","Pride 19 - Bad BloodFeb / 24 / 2002","Decision (Split)N/A","3","5:00",2002-02-24
"16",4,"Ken Shamrock","win","Sam Adkins","WMMAA 1 - MegaFightsAug / 10 / 2001","Submission (Kimura)N/A","1","1:26",2001-08-10
"17",4,"Ken Shamrock","loss","Kazuyuki Fujita","Pride 10 - Return of the WarriorsAug / 27 / 2000","TKO (Corner Stoppage)N/A","1","6:46",2000-08-27
"18",4,"Ken Shamrock","win","Alexander Otsuka","Pride FC - Pride Grand Prix 2000: FinalsMay / 01 / 2000","KO (Punches)Akira Okabayashi","1","9:43",2000-05-01
"19",4,"Ken Shamrock","win","Brian Johnston","UFC - Ultimate Ultimate 1996Dec / 07 / 1996","Submission (Forearm Choke)John McCarthy","1","5:48",1996-12-07
"20",4,"Ken Shamrock","loss","Dan Severn","UFC 9 - Motor City MadnessMay / 17 / 1996","Decision (Split)John McCarthy","1","30:00",1996-05-17
"211",4,"Ken Shamrock","win","Kimo Leopoldo","UFC 8 - David vs. GoliathFeb / 16 / 1996","Submission (Kneebar)John McCarthy","1","4:24",1996-02-16
"221",4,"Ken Shamrock","win","Kazuo Takahashi","Pancrase - Truth 1Jan / 28 / 1996","Decision (Lost Points)Soichi Hiroto","1","20:00",1996-01-28
"23",4,"Ken Shamrock","win","Katsuomi Inagaki","Pancrase - Eyes Of Beast 7Dec / 14 / 1995","Submission (Arm-Triangle Choke)Kenji Kosuge","1","3:19",1995-12-14
"24",4,"Ken Shamrock","draw","Oleg Taktarov","UFC 7 - The Brawl in BuffaloSep / 08 / 1995","DrawJohn McCarthy","1","33:00",1995-09-08
"25",4,"Ken Shamrock","win","Larry Papadopoulos","Pancrase - 1995 Neo-Blood Tournament Opening RoundJul / 22 / 1995","Submission (Achilles Lock)Kenji Kosuge","1","2:18",1995-07-22
"26",4,"Ken Shamrock","win","Dan Severn","UFC 6 - Clash of the TitansJul / 14 / 1995","Submission (Guillotine Choke)John McCarthy","1","2:14",1995-07-14
"27",4,"Ken Shamrock","loss","Minoru Suzuki","Pancrase - Eyes Of Beast 4May / 13 / 1995","Submission (Kneebar)Soichi Hiroto","1","2:14",1995-05-13
"28",4,"Ken Shamrock","draw","Royce Gracie","UFC 5 - The Return of the BeastApr / 07 / 1995","DrawJohn McCarthy","1","36:00",1995-04-07
"29",4,"Ken Shamrock","win","Bas Rutten","Pancrase - Eyes Of Beast 2Mar / 10 / 1995","Submission (Kneebar)Soichi Hiroto","1","1:01",1995-03-10
"30",4,"Ken Shamrock","win","Leon van Dijk","Pancrase - Eyes Of Beast 1Jan / 26 / 1995","Submission (Heel Hook)Soichi Hiroto","1","4:45",1995-01-26
"311",4,"Ken Shamrock","win","Manabu Yamada","Pancrase - King Of Pancrase Tournament Second RoundDec / 17 / 1994","Decision (Unanimous)Soichi Hiroto","1","30:00",1994-12-17
"321",4,"Ken Shamrock","win","Masakatsu Funaki","Pancrase - King Of Pancrase Tournament Second RoundDec / 17 / 1994","Submission (Arm-Triangle Choke)Soichi Hiroto","1","5:50",1994-12-17
"33",4,"Ken Shamrock","win","Maurice Smith","Pancrase - King of Pancrase Tournament Opening RoundDec / 16 / 1994","Submission (Arm-Triangle Choke)Masaaki Hirahara","1","4:23",1994-12-16
"34",4,"Ken Shamrock","win","Alex Cook","Pancrase - King of Pancrase Tournament Opening RoundDec / 16 / 1994","Submission (Heel Hook)Soichi Hiroto","1","1:31",1994-12-16
"35",4,"Ken Shamrock","win","Takaku Fuke","Pancrase - Road To The Championship 5Oct / 15 / 1994","Submission (Rear-Naked Choke)N/A","1","3:13",1994-10-15
"36",4,"Ken Shamrock","win","Felix Mitchell","UFC 3 - The American DreamSep / 09 / 1994","Submission (Rear-Naked Choke)John McCarthy","1","4:34",1994-09-09
"37",4,"Ken Shamrock","win","Christophe Leninger","UFC 3 - The American DreamSep / 09 / 1994","TKO (Submission to Punches)John McCarthy","1","4:49",1994-09-09
"38",4,"Ken Shamrock","loss","Masakatsu Funaki","Pancrase - Road To The Championship 4Sep / 01 / 1994","Submission (Rear-Naked Choke)N/A","1","2:30",1994-09-01
"39",4,"Ken Shamrock","win","Bas Rutten","Pancrase - Road To The Championship 3Jul / 26 / 1994","Submission (Rear-Naked Choke)N/A","1","16:42",1994-07-26
"40",4,"Ken Shamrock","win","Matt Hume","Pancrase - Road To The Championship 2Jul / 06 / 1994","Submission (Kimura)N/A","1","5:50",1994-07-06
"411",4,"Ken Shamrock","win","Ryushi Yanagisawa","Pancrase - Pancrash! 3Apr / 21 / 1994","Submission (Heel Hook)N/A","1","7:30",1994-04-21
"42",4,"Ken Shamrock","loss","Minoru Suzuki","Pancrase - Pancrash! 1Jan / 19 / 1994","Submission (Heel Hook and Kneebar)N/A","1","7:37",1994-01-19
"43",4,"Ken Shamrock","win","Andre Van Den Oetelaar","Pancrase - Yes, We Are Hybrid Wrestlers 4Dec / 08 / 1993","Submission (Achilles Lock)Soichi Hiroto","1","1:04",1993-12-08
"44",4,"Ken Shamrock","loss","Royce Gracie","UFC 1 - The BeginningNov / 12 / 1993","Submission (Rear-Naked Choke)Helio Vigio","1","0:57",1993-11-12
"45",4,"Ken Shamrock","win","Patrick Smith","UFC 1 - The BeginningNov / 12 / 1993","Submission (Heel Hook)Helio Vigio","1","1:49",1993-11-12
"46",4,"Ken Shamrock","win","Takaku Fuke","Pancrase - Yes, We Are Hybrid Wrestlers 3Nov / 08 / 1993","Submission (Rear-Naked Choke)Soichi Hiroto","1","0:44",1993-11-08
"47",4,"Ken Shamrock","win","Kazuo Takahashi","Pancrase - Yes, We Are Hybrid Wrestlers 2Oct / 14 / 1993","Submission (Heel Hook)Soichi Hiroto","1","12:23",1993-10-14
"48",4,"Ken Shamrock","win","Masakatsu Funaki","Pancrase - Yes, We Are Hybrid Wrestlers 1Sep / 21 / 1993","Submission (Arm-Triangle Choke)Soichi Hiroto","1","6:15",1993-09-21
"212",5,"Alexander Otsuka","win","Bob Sapp","Accel - Vol. 18: X'mas Seiya MatsuriDec / 25 / 2011","DQ (Illegal Slams)N/A","2","1:43",2011-12-25
"312",5,"Alexander Otsuka","win","Masada Masada","VFX - Vale Tudo Fighters MexicoMay / 27 / 2006","Submission (Triangle Choke)N/A","1","4:00",2006-05-27
"410",5,"Alexander Otsuka","loss","Murilo Rua","Pride 27 - InfernoFeb / 01 / 2004","Submission (Arm-Triangle Choke)N/A","1","1:25",2004-02-01
"53",5,"Alexander Otsuka","win","Kenichi Yamamoto","Pride 25 - Body BlowMar / 16 / 2003","Decision (Unanimous)N/A","3","5:00",2003-03-16
"63",5,"Alexander Otsuka","loss","Yoshihisa Yamamoto","Pride 24 - Cold Fury 3Dec / 23 / 2002","TKO (Leg Injury)N/A","2","5:00",2002-12-23
"73",5,"Alexander Otsuka","loss","Anderson Silva","Pride 22 - Beasts From The East 2Sep / 29 / 2002","Decision (Unanimous)N/A","3","5:00",2002-09-29
"83",5,"Alexander Otsuka","loss","Sanae Kikuta","Pride 20 - Armed and ReadyApr / 28 / 2002","Decision (Unanimous)N/A","3","5:00",2002-04-28
"92",5,"Alexander Otsuka","loss","Wanderlei Silva","Pride 18 - Cold Fury 2Dec / 23 / 2001","TKO (Doctor Stoppage)N/A","3","2:22",2001-12-23
"102",5,"Alexander Otsuka","loss","Quinton Jackson","BattlArts - BattlArts vs. the WorldOct / 14 / 2001","TKO (Doctor Stoppage)N/A","2","5:00",2001-10-14
"111",5,"Alexander Otsuka","loss","Guy Mezger","KOTC 7 - Wet and WildFeb / 24 / 2001","TKO (Doctor Stoppage)N/A","2","1:57",2001-02-24
"121",5,"Alexander Otsuka","loss","Guy Mezger","Pride 12 - Cold FuryDec / 23 / 2000","TKO (Punches)N/A","1","1:52",2000-12-23
"131",5,"Alexander Otsuka","win","Mike Bourke","Pride 11 - Battle of the Rising SunOct / 31 / 2000","Submission (Double Armbar)N/A","1","2:37",2000-10-31
"141",5,"Alexander Otsuka","loss","Ken Shamrock","Pride FC - Pride Grand Prix 2000: FinalsMay / 01 / 2000","KO (Punches)Akira Okabayashi","1","9:43",2000-05-01
"151",5,"Alexander Otsuka","loss","Igor Vovchanchyn","Pride FC - Pride Grand Prix 2000: Opening RoundJan / 30 / 2000","Decision (Unanimous)Yuji Shimada","1","15:00",2000-01-30
"161",5,"Alexander Otsuka","loss","Renzo Gracie","Pride FC - Pride 8Nov / 21 / 1999","Decision (Unanimous)Akira Okabayashi","2","10:00",1999-11-21
"171",5,"Alexander Otsuka","win","Marco Ruas","Pride FC - Pride 4Oct / 11 / 1998","TKO (Corner Stoppage)Takumi Adachi","2","10:00",1998-10-11
"181",5,"Alexander Otsuka","loss","Chris Haseman","Rings - Extension Fighting 2Apr / 22 / 1997","TKO (Doctor Stoppage)N/A","1","7:03",1997-04-22
"191",5,"Alexander Otsuka","loss","Egan Inoue","Lumax Cup - Tournament of J '95Oct / 13 / 1995","Submission (Armbar)N/A","1","0:55",1995-10-13
"213",6,"Johil de Oliveira","loss","Haroldo Bunn","Shooto Brasil 87 - BOPEAug / 24 / 2018","Submission (Armbar)Osiris Maia","1","4:38",2018-08-24
"313",6,"Johil de Oliveira","loss","Christian Tide Squeti","SJSF - Sao Jose Super Fight 2Jun / 09 / 2012","Decision (Unanimous)N/A","3","5:00",2012-06-09
"412",6,"Johil de Oliveira","win","Marcos Tulio","SJSF - Sao Jose Super Fight 1Oct / 01 / 2011","Decision (Unanimous)N/A","3","5:00",2011-10-01
"54",6,"Johil de Oliveira","win","Haroldo Bunn","Shooto Brazil 25 - Fight for BOPEAug / 25 / 2011","TKO (Doctor Stoppage)Cacau","2","4:09",2011-08-25
"64",6,"Johil de Oliveira","loss","Eduardo Simoes","FA - Fatality Arena 3May / 28 / 2011","Decision (Unanimous)N/A","3","5:00",2011-05-28
"74",6,"Johil de Oliveira","NC","Alessandro Ferreira","JF - Jungle Fight 22Sep / 18 / 2010","No Contest (Illegal Spike)Carlos Barreto","1","0:32",2010-09-18
"84",6,"Johil de Oliveira","loss","Ivan Iberico","Inka FC 6 - Peru vs. BrazilJul / 16 / 2009","TKO (Punches)N/A","2","3:50",2009-07-16
"93",6,"Johil de Oliveira","win","Rodrigo Jacome","JF - Jungle Fight 14May / 09 / 2009","Submission (Kimura)N/A","1","3:04",2009-05-09
"103",6,"Johil de Oliveira","win","Danilo Noronha","JF - Jungle Fight 11Sep / 13 / 2008","Decision (Unanimous)N/A","3","5:00",2008-09-13
"112",6,"Johil de Oliveira","loss","Rodrigo Damm","UFS - Universidade Fight Show 1Oct / 07 / 2007","DecisionN/A","3","5:00",2007-10-07
"122",6,"Johil de Oliveira","win","Jonatas Novaes","OF - Open FightAug / 04 / 2007","DecisionN/A","0","0:00",2007-08-04
"132",6,"Johil de Oliveira","loss","Rafael dos Anjos","Juiz de Fora - Fight 4Apr / 14 / 2007","Submission (Rear-Naked Choke)N/A","1","2:50",2007-04-14
"142",6,"Johil de Oliveira","loss","Leonardo Soares","Juiz de Fora - Fight 3Apr / 08 / 2006","Decision (Split)N/A","3","5:00",2006-04-08
"152",6,"Johil de Oliveira","loss","Alexandre Barros","RMMAC - Rio MMA Challenge 1May / 12 / 2005","TKO (Doctor Stoppage)N/A","0","0:00",2005-05-12
"162",6,"Johil de Oliveira","loss","Mark Weir","Cage Rage 8 - Knights of the OctagonSep / 11 / 2004","Submission (Arm-Triangle Choke)N/A","1","1:35",2004-09-11
"172",6,"Johil de Oliveira","loss","Silmar Rodrigo","BC - Bitetti Combat Nordeste 2Mar / 20 / 2003","Decision (Unanimous)N/A","3","5:00",2003-03-20
"182",6,"Johil de Oliveira","loss","Daiju Takase","Pride FC - The Best, Vol. 1Feb / 22 / 2002","Decision (Unanimous)N/A","3","5:00",2002-02-22
"192",6,"Johil de Oliveira","loss","Antonio Schembri","Pride 14 - Clash of the TitansMay / 27 / 2001","Submission (Armbar)N/A","1","7:17",2001-05-27
"201",6,"Johil de Oliveira","loss","Carlos Newton","Pride 12 - Cold FuryDec / 23 / 2000","Decision (Unanimous)N/A","2","5:00",2000-12-23
"214",6,"Johil de Oliveira","loss","Jose Landi-Jons","IVC 11 - The Tournament is BackApr / 27 / 1999","Decision (Unanimous)N/A","1","30:00",1999-04-27
"222",6,"Johil de Oliveira","win","Darrell Gholar","IVC 5 - The WarriorsApr / 26 / 1998","Decision (Unanimous)N/A","1","30:00",1998-04-26
"231",6,"Johil de Oliveira","loss","Wallid Ismail","IVC 3 - The War ContinuesDec / 10 / 1997","TKO (Submission to Punches)N/A","1","9:48",1997-12-10
"241",6,"Johil de Oliveira","win","Joao Bosco","IVC 2 - A Question of PrideSep / 15 / 1997","TKO (Punches)N/A","1","8:33",1997-09-15
"251",6,"Johil de Oliveira","win","Jose Landi-Jons","WVC 4 - World Vale Tudo Championship 4Mar / 16 / 1997","Decision (Unanimous)N/A","1","30:00",1997-03-16
"261",6,"Johil de Oliveira","win","Koji Lierman","WVC 4 - World Vale Tudo Championship 4Mar / 16 / 1997","Submission (Rear-Naked Choke)N/A","1","0:45",1997-03-16
"271",6,"Johil de Oliveira","win","Cristian Quezada","UVF 5 - Universal Vale Tudo Fighting 5Jan / 30 / 1997","TKO (Retirement)N/A","1","4:59",1997-01-30
"281",6,"Johil de Oliveira","win","Claudionor Cardoso da Silva","BVF 6 - Campeonato Brasileiro de Vale Tudo 1Nov / 01 / 1996","TKO (Submission to Strikes)N/A","1","6:47",1996-11-01
"291",6,"Johil de Oliveira","win","Ernando dos Santos","BVF 6 - Campeonato Brasileiro de Vale Tudo 1Nov / 01 / 1996","Submission (Rear-Naked Choke)N/A","1","2:49",1996-11-01
"301",6,"Johil de Oliveira","draw","John Lewis","EF 3 - Extreme Fighting 3Oct / 18 / 1996","DrawN/A","3","5:00",1996-10-18
"314",6,"Johil de Oliveira","win","Luiz Fraga","BVF 2 - Brazilian Vale Tudo Fighting 2May / 31 / 1996","DecisionN/A","2","10:00",1996-05-31
"322",6,"Johil de Oliveira","win","Claudionor Cardoso da Silva","BVF 2 - Brazilian Vale Tudo Fighting 2May / 31 / 1996","Submission (Rear-Naked Choke)N/A","1","5:11",1996-05-31
"331",6,"Johil de Oliveira","win","Alexandre Sagatte","BVF 2 - Brazilian Vale Tudo Fighting 2May / 31 / 1996","Submission (Armbar)N/A","1","2:23",1996-05-31
"341",6,"Johil de Oliveira","win","Akira Nagase","UVF 1 - Universal Vale Tudo Fighting 1Apr / 05 / 1996","TKO (Doctor Stoppage)N/A","1","10:00",1996-04-05
"351",6,"Johil de Oliveira","loss","Crezio de Souza","DDT - Duelo de TitasSep / 01 / 1995","Submission (Rear-Naked Choke)N/A","1","N/A",1995-09-01
"361",6,"Johil de Oliveira","win","Paulo de Jesus","GCVT - Gaisei Challenge Vale TudoNov / 30 / 00-1","Submission (Choke)N/A","1","0:45",0-11-30
"215",7,"Carlos Newton","loss","Brian Ebersole","Impact FC 1 - The Uprising: BrisbaneJul / 10 / 2010","Decision (Unanimous)John McCarthy","3","5:00",2010-07-10
"315",7,"Carlos Newton","win","Shonie Carter","W-1 MMA 3 - High VoltageOct / 10 / 2009","Decision (Unanimous)N/A","3","5:00",2009-10-10
"413",7,"Carlos Newton","win","Nabil Khatib","W-1 MMA 1 - InceptionMar / 28 / 2009","TKO (Punches)Yves Lavigne","1","3:12",2009-03-28
"55",7,"Carlos Newton","loss","Shungo Oyama","K-1 HERO's - HERO's 2007 in KoreaOct / 28 / 2007","TKO (Submission to Punches)N/A","3","2:42",2007-10-28
"65",7,"Carlos Newton","loss","Matt Lindland","IFL - HoustonFeb / 02 / 2007","Submission (Guillotine Choke)N/A","2","1:43",2007-02-02
"75",7,"Carlos Newton","loss","Renzo Gracie","IFL - Championship FinalDec / 29 / 2006","Decision (Split)N/A","3","4:00",2006-12-29
"85",7,"Carlos Newton","win","Tokimitsu Ishizawa","K-1 - Hero's 7Oct / 09 / 2006","TKO (Punches)N/A","1","0:22",2006-10-09
