"","GEOID","NAME","rentBurdenTotalE","rentBurdenTotalM","rentBurden3035E","rentBurden3035M","rentBurden3540E","rentBurden3540M","rentBurden4050E","rentBurden4050M","rentBurden50PlusE","rentBurden50PlusM","rentBurdenNCE","rentBurdenNCM","giniE","giniM","ownBurdenTotalE","ownBurdenTotalM","ownBurden3035E","ownBurden3035M","ownBurden3540E","ownBurden3540M","ownBurden4050E","ownBurden4050M","ownBurden50PlusE","ownBurden50PlusM","ownBurdenNCE","ownBurdenNCM","rentBurdenPerc","ownBurdenPerc"
"1","01003","Baldwin County, Alabama",17028,2396,1178,686,794,550,2216,1384,2993,1178,2648,1235,0.46,0.0232,36074,3452,1885,869,1575,977,1366,550,4570,1633,0,206,49.94,26.05
"2","01015","Calhoun County, Alabama",13157,1796,1014,659,598,499,759,414,3302,1107,1074,642,0.46,0.0301,16598,1718,1497,717,840,583,1053,543,381,247,511,649,46.95,23.44
"3","01043","Cullman County, Alabama",7776,1275,573,419,763,416,91,97,985,406,575,279,0.4,0.0253,11915,1490,1001,609,440,323,819,496,639,350,94,110,33.5,24.52
"4","01049","DeKalb County, Alabama",7087,1396,1287,715,302,264,152,123,838,630,1392,635,0.45,0.0461,8698,1484,668,532,175,153,491,403,303,245,86,142,45.29,19.01
"5","01051","Elmore County, Alabama",7849,1759,293,246,1009,537,460,449,2257,1081,968,629,0.45,0.0378,12752,1432,908,579,29,48,430,308,687,399,122,145,58.41,16.26
"6","01055","Etowah County, Alabama",10877,1688,648,476,547,393,947,599,2339,647,1387,687,0.5,0.0465,14082,1476,865,404,699,491,797,463,1225,495,97,158,47.22,25.64
"7","01069","Houston County, Alabama",13954,903,842,249,1051,317,880,421,3053,519,1598,483,0.49,0.0198,15051,930,789,227,439,162,880,448,1126,398,76,77,47.15,21.6
"8","01073","Jefferson County, Alabama",103273,3779,8159,1707,7004,1855,8077,1755,23436,3227,10342,1772,0.5,0.0112,101948,4217,5674,1295,4444,1407,5254,1267,10781,1951,704,553,50.23,25.83
"9","01077","Lauderdale County, Alabama",13817,1608,684,446,749,627,1290,595,2704,978,1409,584,0.45,0.0276,12124,1542,519,449,289,235,473,429,1546,705,0,206,43.74,23.32
"10","01081","Lee County, Alabama",21086,2444,1309,693,1310,682,911,548,6104,1753,1721,939,0.52,0.0339,28109,2761,1956,783,269,291,1621,828,3014,1226,700,769,49.75,25.03
"11","01083","Limestone County, Alabama",6854,1422,467,340,279,256,489,372,1426,722,658,415,0.44,0.0284,14051,1537,567,309,141,176,461,385,1088,661,0,206,42.95,16.06
"12","01089","Madison County, Alabama",51959,3038,4956,1399,3109,1029,3205,1022,10471,1889,2978,1004,0.45,0.0127,67810,3775,2382,845,2129,870,2181,811,4494,1213,529,511,44.39,16.63
"13","01095","Marshall County, Alabama",10446,1286,756,455,547,480,1148,595,1351,495,1642,635,0.45,0.0239,12604,1490,490,320,486,340,852,563,1196,427,20,26,43.18,24.03
"14","01097","Mobile County, Alabama",57049,3690,3933,946,3652,1013,3523,901,13755,2376,10615,1927,0.46,0.0137,59823,3231,3179,807,2384,907,2544,727,5509,1250,385,325,53.54,22.91
"15","01101","Montgomery County, Alabama",36825,2826,3213,1019,2112,823,2441,990,7073,1685,2725,945,0.46,0.0207,33953,2432,1675,719,1664,638,1510,785,2792,783,207,208,43.52,22.64
"16","01103","Morgan County, Alabama",11693,1503,997,636,493,419,227,213,2148,853,1149,487,0.46,0.0232,21094,2235,1160,865,1144,654,501,371,1792,705,242,338,36.66,22.05
"17","01115","St. Clair County, Alabama",7198,1447,51,89,187,186,307,270,1365,1051,766,524,0.39,0.0399,15179,1914,389,267,329,263,1159,967,1094,616,0,206,29.7,19.57
"18","01117","Shelby County, Alabama",15491,1599,890,427,510,397,1039,574,3178,1045,1629,733,0.45,0.024,46799,2442,2484,749,806,430,2814,958,3987,1103,180,222,40.52,21.65
"19","01121","Talladega County, Alabama",8042,1532,388,333,443,294,557,490,1881,717,1181,574,0.46,0.0277,10948,1504,614,431,694,529,502,324,1219,587,0,206,47.65,27.67
"20","01125","Tuscaloosa County, Alabama",27261,2377,2322,1008,1136,779,3784,1279,7302,1808,2214,996,0.48,0.0191,29099,2449,1451,705,934,628,1061,564,2438,736,111,152,58.07,20.3
"21","01127","Walker County, Alabama",5508,1112,638,449,400,434,25,42,1457,674,799,308,0.44,0.029,8018,1237,606,503,391,271,412,330,270,231,202,297,53.51,21.48
"22","02020","Anchorage Municipality, Alaska",40980,2911,3421,1154,1839,905,4008,1173,8415,1636,1399,834,0.44,0.0229,43057,2777,3097,904,1601,728,1871,792,4584,1173,83,95,44.68,25.95
"23","02090","Fairbanks North Star Borough, Alaska",13556,1712,1091,533,491,424,2284,965,2545,1168,934,552,0.43,0.0307,16052,2011,1106,754,773,681,1510,885,1421,593,0,163,50.79,29.97
"24","02170","Matanuska-Susitna Borough, Alaska",7784,855,917,338,583,222,871,297,1600,452,625,248,0.41,0.0171,16710,942,1162,340,645,253,1021,358,2134,534,77,85,55.47,29.83
"25","04001","Apache County, Arizona",4208,672,52,72,57,75,213,181,307,240,624,281,0.51,0.0301,2727,628,370,336,343,350,255,280,383,455,222,251,17.55,53.93
"26","04003","Cochise County, Arizona",16729,1939,914,456,1003,536,625,354,3039,996,1098,492,0.44,0.0259,18040,1826,741,342,684,368,879,476,1929,779,46,75,35.7,23.52
"27","04005","Coconino County, Arizona",18862,2098,1861,794,1420,624,1453,759,4321,1086,1767,701,0.48,0.0408,14889,1635,536,265,1103,452,838,441,1335,645,35,62,52.97,25.66
"28","04013","Maricopa County, Arizona",592371,11020,53501,4365,35768,3988,48448,3958,125477,5861,28514,3523,0.45,0.0052,684192,10351,41556,3349,30753,3325,33015,3242,60915,4163,4143,1604,46.68,24.45
"29","04015","Mohave County, Arizona",25307,2857,2524,1152,1998,854,1700,670,3789,1296,3389,1285,0.42,0.0289,36199,2967,1829,672,1988,907,1451,595,5111,1392,217,182,45.67,28.84
"30","04017","Navajo County, Arizona",10526,1258,782,470,513,451,850,578,1117,519,1886,677,0.45,0.0211,11199,1305,382,254,464,385,1040,578,1547,582,219,320,37.75,31.27
"31","04019","Pima County, Arizona",151943,5269,16189,2688,8229,1726,12423,1822,32515,3263,12282,1964,0.47,0.0092,157666,5363,10193,1573,7187,1358,8580,1448,13577,1882,586,357,49.66,25.17
"32","04021","Pinal County, Arizona",33368,3745,3058,1198,2169,994,2948,1335,4855,1160,4492,1235,0.41,0.022,74644,3636,6472,1666,2489,748,4902,1414,7078,1608,238,304,45.12,28.14
"33","04025","Yavapai County, Arizona",30112,2745,2572,958,936,543,3475,1209,5914,1371,3223,1182,0.44,0.0168,37926,2824,2820,938,1405,628,2104,932,5816,1487,0,218,47.96,32.02
"34","04027","Yuma County, Arizona",24943,2524,2218,868,1229,707,1260,765,5415,1341,3060,1207,0.45,0.029,28876,2585,1853,932,1098,506,970,684,4383,1610,249,351,46.26,29.01
"35","05007","Benton County, Arkansas",32373,2416,2693,833,1797,818,2039,927,4877,1064,2849,872,0.46,0.0186,45977,2787,2346,830,2356,821,1402,557,2416,748,37,64,38.63,18.55
"36","05031","Craighead County, Arkansas",17129,1716,1527,920,1061,704,1525,910,4105,1163,1101,584,0.48,0.0418,14228,1556,182,202,454,358,994,679,924,786,0,206,51.27,17.95
"37","05045","Faulkner County, Arkansas",19054,1747,1388,645,1024,759,2288,1148,3865,1221,1512,996,0.48,0.0508,17707,1558,1080,481,443,264,796,467,1298,638,0,206,48.83,20.43
"38","05051","Garland County, Arkansas",12659,2155,856,557,484,318,701,427,2385,861,2133,971,0.47,0.0355,14715,1950,579,451,822,683,817,418,1801,836,0,206,42.05,27.31
"39","05069","Jefferson County, Arkansas",9833,1502,825,530,723,420,453,382,2457,1082,1523,652,0.47,0.0351,8786,1398,479,376,153,166,337,221,1150,587,0,206,53.65,24.12
"40","05085","Lonoke County, Arkansas",7480,1210,817,601,248,208,915,569,971,468,638,455,0.41,0.0291,12030,1305,538,388,509,350,327,220,836,471,0,206,43.13,18.37
"41","05119","Pulaski County, Arkansas",62855,3442,4929,1390,2968,1153,4802,1553,13220,2241,3592,1129,0.5,0.0176,59147,3958,3305,1328,1859,757,3052,1278,5760,1638,680,419,43.74,23.9
"42","05125","Saline County, Arkansas",11702,1820,813,517,193,190,764,454,2606,1085,1190,682,0.39,0.0244,20301,2094,576,420,255,222,975,834,1616,595,0,206,41.63,16.86
"43","05131","Sebastian County, Arkansas",22129,2143,1724,789,988,647,2349,960,3359,1220,1697,863,0.46,0.0296,15692,1987,986,533,509,342,1046,703,1086,648,0,206,41.21,23.11
"44","05143","Washington County, Arkansas",41989,2844,3135,1147,1408,683,3094,1138,9241,1965,1879,850,0.47,0.0208,30010,2146,1185,600,1122,710,1384,667,857,426,17,22,42.08,15.16
"45","05145","White County, Arkansas",10086,1454,1340,689,181,169,1145,726,1736,724,839,413,0.46,0.0322,9442,1434,468,406,82,110,816,679,990,449,130,211,47.6,25.3
